Product;Description;RDC Alger BISMA;RDC Annaba BISMA;RDC Annaba BISMA;RDC Eulma BISMA;RDC Oran BISMA;SARL BISMA DISTRIBUTION
;;401 / Stock;404 / Declasser;404 / Stock;402 / Stock;403 / Stock;BSM / Stock
43P755;43" 4K HDR Smart Android Google TV ;0;0;0;0;2;0
RRR;Rabais remises ristournes;0;0;0;0;0;0
2 PIECES 55P635 10%;2 PIECES 55P635 10%;0;0;0;0;0;0
2 PIECES P550TMS 20%;2 PIECES P550TMS 20%;0;0;0;0;0;0
55C835+43S5400 Gratuité;55C835+43S5400 Gratuité;0;0;0;0;0;0
65C835+50P635 Gratuité;65C835+50P635 Gratuité;0;0;0;0;0;0
75C835+55P635 Gratuité;75C835+55P635 Gratuité;0;0;0;0;0;0
PACK 10 PIECES TV;PACK 10 PIECES TV;0;0;0;0;0;0
PACK 32S+50P+55P;PACK 32S+50P+55P;0;0;0;0;0;0
PACK 32S5400;PACK 32S5400;0;0;0;0;0;0
PACK 43S5400;PACK 43S5400;0;0;0;0;0;0
PACK 50P635;PACK 50P635;0;0;0;0;0;0
PACK 55P635;PACK 55P635;0;0;0;0;0;0
PACK LIQUIDATION (18000XAA1+43S);PACK LIQUIDATION (18000XAA1+43S);0;0;0;0;0;0
PACK REF POS 2 PIECES;PACK REF POS 2 PIECES;0;0;0;0;0;0
PACK TV (2P 43S+2P 50P755+3 P 55P635);PACK TV (2P 43S+2P 50P755+3 P 55P635);0;0;0;0;0;0
PACK TV + CLIM;PACK TV + CLIM;0;0;0;0;0;0
PACK TV+CLIM (WM GIFT);PACK TV+CLIM (WM GIFT);0;0;0;0;0;0
PACK TV+CLIM (WM GIFT);PACK TV+CLIM (WM GIFT);0;0;0;0;0;0
PACK TV POS 10 PIECES;PACK TV POS 10 PIECES;0;0;0;0;0;0
PACK TV POS 10 PIECES (SANS 32'');PACK TV POS 10 PIECES (SANS 32'');0;0;0;0;0;0
PACK TV POS 3 PIECES;PACK TV POS 3 PIECES;0;0;0;0;0;0
PACK TV POS 7 PIECES;PACK TV POS 7 PIECES;0;0;0;0;0;0
32D3200;32" HD Non Smart;9;0;6;22;49;0
PACK 20 PIECES TV;PACK 20 PIECES TV;0;0;0;0;0;0
43D3200;43" FHD Non Smart;0;0;1;16;7;0
43S5400;43"FHD Smart Android  Google TV ;0;3;5;0;1;0
50C655;50" QLED UHD 4K 120Hz Game Accelerator Smart Android Google TV ;7;0;1;0;0;0
32S5400;32"FHD Smart Android  Google TV ;419;0;282;1386;217;1
50P635;50"UHD 4K Smart Android  Google TV ;4;0;2;0;0;0
50P755;50" UHD 4K 120Hz Game Accelerator Smart Android Google TV ;337;0;2;0;11;0
55C645;55" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;1;0;0;0
55C655;55" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;2;0;0;0
55C755;55" QD-Mini LED 4K TV 144Hz VRR;0;0;0;0;0;0
55C835;55" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;1;0;7;0;2;0
55P635;55"UHD 4K Smart Android  Google TV ;4;0;7;5;4;0
55P755;55" UHD 4K 120Hz Game Accelerator Smart Android Google TV ;0;0;0;0;0;0
65C645;65" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;0;0;0;0
65C655;65" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;0;0;0;0
65C755;65" QD-Mini LED 4K TV 144Hz VRR;0;0;0;0;0;0
65C835;65" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;0;0;0;0
65P635;65"UHD 4K Smart Android  Google TV ;0;0;1;0;0;0
65P755;65" UHD 4K 120Hz Game Accelerator Smart Android Google TV ;0;0;0;0;0;0
75C645;75" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;0;0;0;0
75C655;75" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;0;0;3;0;0;0
75C755;75" QD-Mini LED 4K TV 144Hz VRR;0;0;0;5;0;0
75C835;75" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;2;0;2;0;0;0
75P635;75"UHD 4K Smart Android  Google TV ;0;0;0;5;0;0
75P755;75" UHD 4K 120Hz Game Accelerator Smart Android Google TV ;0;0;1;0;0;0
98C735;98" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ;2;0;0;2;0;0
C2111FLB;Lave-linge 10,5Kg | 1200 Tr | Inverter Direct Drive | Gris foncé ;0;19;0;0;0;0
C2111WDB;Lave-linge 10,5/6Kg Séchante | 1200 Tr | Inverter Direct Drive | Gris foncé ;0;21;0;0;0;0
DW60M5050FS/FH-BISMA;LAVE VAISSELLE SUMSUNG 13 COUVERT INOX - BISMA;0;0;0;2;0;0
DW60M5050FW-BISMA;LAVE VAISSELLE 13 COUVERTS BLANCHE - BISMA;0;0;1;0;0;0
DW60M5050FW/FH-BISMA;LAVE VAISSELLE SUMSUNG 13 COUVERTS WHITE - BISMA;0;0;1;0;0;0
DW60M5070FS/FH-BISMA;LAVE VAISSELLE SAMSUNG 14 COUVERT INOX - BISMA;0;0;0;1;0;0
P382BFS;Refregirateur 382 L Inox  Combiné Bottom Mounted Freezer (A+);0;19;0;24;2;0
P540BFS;Refregirateur 540 L Inox Combiné, Bottom Mounted Freezer (A+);0;7;0;0;1;0
P550TMS;Refregirateur 550 L Inox, Top Mounted Freezer (A+);0;5;7;34;0;0
P560CDN;Refregirateur 560 L  Inox 4 Portes Cross Door, Twin Eco Inverter (A+);0;0;0;0;0;0
P575FDN;REFREGIRATEUR 575L INOX FRENCH DOOR TWIN ECO INVERTER A+;0;1;0;0;12;0
P605TM;Refregirateur 605 L Inox, Top Mounted Freezer (A+);0;89;7;6;0;0
P605TM/SAC;Refregirateur 605 L Inox, Top Mounted Freezer (A+) SAC;0;0;0;0;0;0
P607FLG;Lave-linge 7Kg - 1400 Tr | Inverter BLDC | Gris;0;23;9;1;2;0
P607FLW;Lave-linge 7Kg | 1400 Tr | Inverter BLDC | Blanc;0;1;0;5;3;0
P608FLG;Lave-linge 8Kg | 1400 Tr | Inverter BLDC | Gris;0;13;1;0;0;0
P608FLW;Lave-linge 8Kg | 1400 Tr | Inverter BLDC |Blanc;0;6;1;0;0;0
P635SBN;Refregirateur 635 L Inox Side by Side, Twin Eco Inverter (A+);0;8;0;0;0;0
P700TM;Refregirateur 700 L Inox, Top Mounted Freezer (A+);0;17;0;3;0;0
P787TM;Refregirateur 787 L Inox, Distributeur d'eau, Twin Eco Inverter (A+);0;6;0;0;0;0
P790SBN;Refregirateur 790 L Inox Side by Side, Twin Eco Inverter (A+);0;13;0;0;0;0
QA55Q60TAUXBM-BISMA;TV QLED 55'' Q60T - BISMA;0;0;2;12;0;0
QA55Q70AAUCBM-BISMA;TELEVISEUR QLED 55" SMART  SERIE 70A - BISMA;0;0;14;0;7;0
QA55Q70BAUSB-BISMA;TV QLED 55" SERIE B 4K UHD SMART MIB - BISMA;10;0;0;4;4;0
QA55Q70BAUSBM-BISMA;TV 55" SERIE B QLED UHD 4K SMART MIB - BISMA;0;0;0;1;0;0
QA55Q70TAUXBM-BISMA;TELEVISEUR QLED 55" SMART  SERIE 70T  - BISMA;0;0;5;7;2;0
