Product;Description;Depot PF OUED SMAR Bisma;RDC ALGER;RDC ANNABA;RDC EULMA;RDC ORAN;USINE DE FABRICATION
;;105 / Stock;401 / Stock;404 / Stock;402 / Stock;403 / Stock;21 / Stock
32D3200;"32"" HD Non Smart";0;13.0;1.0;24.0;52.0;0
32S5400;"32"" FHD Smart Android Google TV ";2320.0;2194.0;1448.0;8420.0;1051.0;0
43D3200;"43"" FHD Non Smart";0;4.0;0;1.0;7.0;0
43P755;"43"" 4K HDR Smart Android Google TV ";0;69.0;5.0;22.0;9.0;0
43S5400;"43"" FHD Smart Android Google TV ";0;674.0;196.0;1487.0;302.0;0
50C655;"50"" QLED UHD 4K 120Hz Game Accelerator Smart Android Google TV ";0;100.0;9.0;68.0;36.0;0
50P635;"50"" UHD 4K Smart Android Google TV ";0;771.0;319.0;1563.0;299.0;0
50P755;"50"" UHD 4K 120Hz Game Accelerator Smart Android Google TV ";0;599.0;129.0;611.0;148.0;0
55C645;"55"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;0;0;0;0;0
55C655;"55"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;880.0;69.0;347.0;142.0;0
55C6K;"55"" Premium QD-MiniLED 4k TV 144 Hz";0;0;0;0;0;0
55C755;"55"" QD-Mini LED 4K TV 144Hz VRR";0;37.0;0;7.0;10.0;0
55C835;"55"" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;6.0;1.0;0;0;0
55P635;"55"" UHD 4K Smart Android Google TV ";0;2022.0;834.0;4033.0;493.0;0
55P755;"55"" UHD 4K 120Hz Game Accelerator Smart Android Google TV ";0;202.0;26.0;293.0;32.0;0
65C645;"65"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;0;0;0;1.0;0
65C655;"65"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;308.0;50.0;48.0;36.0;0
65C6K;"65"" Premium QD-MiniLED 4k TV 144 Hz";0;0;0;0;0;0
65C755;"65"" QD-Mini LED 4K TV 144Hz VRR";0;7.0;0;2.0;5.0;0
65C835;"65"" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;5.0;1.0;1.0;0;0
65P635;"65"" UHD 4K Smart Android Google TV ";0;76.0;42.0;11.0;43.0;0
65P755;"65"" UHD 4K 120Hz Game Accelerator Smart Android Google TV ";0;230.0;92.0;381.0;141.0;0.0
75C645;"75"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;0;0;0;0;0
75C655;"75"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;73.0;11.0;31.0;23.0;0
75C6K;"75"" Premium QD-MiniLED 4k TV 144 Hz";0;0;0;0;0;0
75C755;"75"" QD-Mini LED 4K TV 144Hz VRR";0;0;0;5.0;0;0
75C835;"75"" Mini LED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;5.0;1.0;0;1.0;0
75P635;"75""UHD 4K Smart Android  Google TV ";0;14.0;1.0;5.0;2.0;0
75P755;"75"" UHD 4K 120Hz Game Accelerator Smart Android Google TV ";0;20.0;3.0;49.0;5.0;0
98C735;"98"" QLED UHD 4K 120Hz Game Accelerator  Smart Android  Google TV ";0;2.0;0.0;2.0;0;0
C2111FLB;Lave-linge 10,5Kg | 1200 Tr | Inverter BLDC | Gris foncé ;0;32.0;66.0;494.0;49.0;76.0
C2111WDB;Lave-linge 10,5/6Kg Séchante | 1200 Tr | Inverter Direct Drive | Gris foncé ;0;106.0;80.0;104.0;30.0;0
DW60M5050FW-BISMA;LAVE VAISSELLE 13 COUVERTS BLANCHE - BISMA;0;0;0;1.0;3.0;0
P382BFS;  Refregirateur 382 L Inox  Combiné Bottom Mounted Freezer (A+);0;15.0;2.0;16.0;7.0;0
