Désignation;Référence;code article;UM;Stock initial;Réceptions;Production;Stock Final;SHORTAGE
AUTREMP;CYCLOPENTANE;C5H10-95%;KG; 8 288 ;0;2500;5788;  -  
AUTREMP;POLYOL RST5345;0204-007087;KG; 22 000 ;0;4000;18000;  -  
AUTREMP;ISOCYANATE (MDI);DA02-00087A;KG; 20 000 ;0;2500;17500;  -  
AUTREMP;COATING-ECO PRO;MP03-00001;PCS; - ; - ; - ; - ;  -  
AUTREMP;MAGNET ;MP03-00004;ML; 137 700 ; - ; - ; 137 700 ;  -  
AUTREMP;SPONGE;MP03-00003;PCS; 297 000 ; - ; - ; 297 000 ;  -  
AUTREMP;TUBE  PVC;MP03-00002;ML; 78 300 ; - ; - ; 78 300 ;  -  
AUTREMP;HOTE PIPE;MP03-00006;ML; 12 681 ; - ; - ; 12 681 ;  -  
AUTREMP;SOLDER CREAM;;KG; - ; - ; - ; - ;  -  
EMBALLAGEREF;CARD-WARRANTY;6801-002202;PCS; 2 134 ; - ; 1 800 ; 334 ;  -  
EMBALLAGEREF;Label caution;DA68-01797R;PCS; 14 004 ; - ; 1 800 ; 12 204 ;  -  
EMBALLAGEREF;LABEL ENERGY-RT38K8012WW;DA68-02983R;PCS; 4 758 ; - ; - ; 4 758 ;  -  
EMBALLAGEREF;LABEL ENERGY-RT38K5532S8;DA68-02983W;PCS; 3 127 ; - ; 1 000 ; 2 127 ;  -  
EMBALLAGEREF;LABEL ENERGY-RT32K5012S8;DA68-02983Y;PCS; 40 ; - ; - ; 40 ;  -  
EMBALLAGEREF;USER MANUAL;DA68-03377B;PCS; 1 900 ; - ; 1 000 ; 900 ;  -  
EMBALLAGEREF;MANUEL REFRIGERATEUR;DA68-03383A;PCS; 3 806 ; - ; 800 ; 3 006 ;  -  
EMBALLAGEREF;LABEL ENERGY-RT46K6231S8;DA68-04092B;PCS; 1 323 ; - ; 800 ; 523 ;  -  
EMBALLAGEREF;LABEL ENERGY-RT46K6231WW;DA68-04092C;PCS; 6 948 ; - ; - ; 6 948 ;  -  
EMBALLAGEREF;PACKING CASE RT38;DA69-01607A;PCS; 4 078 ; - ; 896 ; 3 182 ;  -  
EMBALLAGEREF;PACKING CASE RT32;DA69-01607C;PCS; 770 ; - ; 1 000 ;-230 ;  -  
