Dépôt;Désignation;Référence;Stock Final
RDC_ALGER_BISMA;AUTRE;2 PIECES 55P635 10%;0
RDC_ANNABA_BISMA;AUTRE;2 PIECES 55P635 10%;0
RDC_EULMA_BISMA;AUTRE;2 PIECES 55P635 10%;0
RDC_ORAN_BISMA;AUTRE;2 PIECES 55P635 10%;0
RDC_ALGER_BISMA;AUTRE;2 PIECES P550TMS 20%;0
RDC_ANNABA_BISMA;AUTRE;2 PIECES P550TMS 20%;0
RDC_EULMA_BISMA;AUTRE;2 PIECES P550TMS 20%;0
RDC_ORAN_BISMA;AUTRE;2 PIECES P550TMS 20%;0
RDC_ALGER;AUTRE;2 PIECES RT40 76%;0
RDC_ANNABA;AUTRE;2 PIECES RT40 76%;0
RDC_EULMA;AUTRE;2 PIECES RT40 76%;0
RDC_ORAN;AUTRE;2 PIECES RT40 76%;0
RDC_ALGER;AUTRE;2 PIECES RT49 10.28%;0
RDC_ANNABA;AUTRE;2 PIECES RT49 10.28%;0
RDC_EULMA;AUTRE;2 PIECES RT49 10.28%;0
RDC_ORAN;AUTRE;2 PIECES RT49 10.28%;0
Depot_PF_OUED_SMAR_Bisma;AC;32D3200;0
RDC_ALGER_BISMA;AC;32D3200;9
RDC_ANNABA_BISMA;AC;32D3200;5
RDC_EULMA_BISMA;AC;32D3200;22
RDC_ORAN_BISMA;AC;32D3200;49
USINE_BISMA;AC;32D3200;13
CBU;TV;32S5400;0
Depot_PF_OUED_SMAR_Bisma;TV;32S5400;2320
EXPORT;TV;32S5400;0
Oued_Smar;TV;32S5400;0
Oued_Smar2;TV;32S5400;0
PF_El_Eulma;TV;32S5400;0
RDC_ALGER;TV;32S5400;0
RDC_ALGER_BISMA;TV;32S5400;428
RDC_ANNABA;TV;32S5400;0
RDC_ANNABA_BISMA;TV;32S5400;283
RDC_EULMA;TV;32S5400;0
RDC_EULMA_BISMA;TV;32S5400;1422
RDC_ORAN;TV;32S5400;0
RDC_ORAN_BISMA;TV;32S5400;221
